root_basename	predicate	allocated_bytes	retained_canonical
v04-cvrp-postpivot-resume-ready-1r-gpt55-20260618T094633Z-claw	copied_prepared_shell_no_lifecycle	6885376	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-20260618T095007Z-claw	copied_prepared_shell_no_lifecycle	6885376	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-20260618T095657Z-claw	copied_prepared_shell_no_lifecycle	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-20260618T100519Z-claw	copied_prepared_shell_no_lifecycle	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-calibbudgetfix-1r-gpt55-20260618T105613Z-claw	copied_prepared_shell_no_lifecycle	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-lifecyclefix-1r-gpt55-20260618T103717Z-claw	copied_prepared_shell_no_lifecycle	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-measurementfix-1r-gpt55-20260618T105007Z-claw	copied_prepared_shell_no_lifecycle	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-1r-gpt55-runtimefix-1r-gpt55-20260618T102543Z-claw	copied_prepared_shell_no_lifecycle	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-coverage-1r-gpt55-20260618T114826Z-claw	copied_prepared_shell_prepared_only	6922240	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-cvrp-postpivot-resume-ready-inventory-1r-gpt55-20260618T113345Z-claw	copied_prepared_shell_prepared_only	6889472	v04-cvrp-postpivot-guidance-agentic-1r-acc21ba-20260618T064210Z/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-20260618T093411Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-20260618T095657Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-20260618T100151Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-20260618T100519Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-calibbudgetfix-6r-gpt55-20260618T105613Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-lifecyclefix-6r-gpt55-20260618T103718Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-measurementfix-6r-gpt55-20260618T105007Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-6r-gpt55-runtimefix-6r-gpt55-20260618T102543Z-claw	copied_prepared_shell_no_lifecycle	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-coverage-6r-gpt55-20260618T114826Z-claw	copied_prepared_shell_prepared_only	72396800	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
v04-warehouse-v2-followup-ready-inventory-6r-gpt55-20260618T113345Z-claw	copied_prepared_shell_prepared_only	72364032	v04-warehouse-validation-transfer-contract-rerun6r-ce5d884-20260617T152944Z/rep01/full_context/campaign
