absolute_path	allocated_bytes	observed_evidence	repository_reference	canonical_or_successor	disposition	reason
/home/clawd/research/scion-experiments/v04-phase5-warehouse-controlpair-full-vs-nomeas-4x2-8r-20260613T011255Z-claw	39055360	failed_pre_protocol;metrics=0;agentic_or_llm_files=19;rep01_full=401_invalid_proxy_key;only_two_failed_cells_and_one_stale_started_cell	none	v04-phase5-warehouse-controlpair-full-vs-nomeas-4x2-8r-20260613T011820Z-claw	delete	completed_same_matrix_retained_with_64_effective_rounds_and_548_metric_files;failure_taxonomy_and_cell_outcomes_preserved_here
/home/clawd/research/scion-experiments/v04-lesson-replay-accounting-warehouse-verify-40r-gpt55-40r-gpt55-20260608T161528Z-claw	26517504	invalid_no_effective_rounds;SIGTERM;metrics_files=6;agentic_or_llm_files=35	none	v04-sibling-advisory-warehouse-verify-40r-gpt55-40r-gpt55-20260608T164113Z-claw;v04-p2-auditability-verify-warehouse-40r-gpt55-20260609T114828Z-claw	retain_unique_traces	zero_effective_but_unique_hypothesis_tool_and_provider_traces;matches_existing_fail_closed_retention_boundary
/home/clawd/research/scion-experiments/v03-production-timeout-fix-validation-20260428	14422016	incomplete_matrix;metrics_files=9;agentic_or_llm_files=18	scion/docs/archive/v0.3/v0.3-production-timeout-fix-analysis.md;scion/docs/archive/v0.3/v0.3-final-visual-report.md;scion/docs/evidence/manifest.md	v03-production-timeout-fix-validation-20260428b	retain_referenced_unique	unique_inflight_metrics_and_multiple_exact_repository_references
/home/clawd/research/scion-experiments/v03-hardening-confirmation-20260425	11816960	confirmation_matrix;metrics_files=6;agentic_or_llm_files=0	none	v03-final-sync-12campaign-20260426	retain_unique_result	unique_confirmation_metrics_are_not_an_exact_duplicate
/home/clawd/research/scion-experiments/v04-lesson-replay-accounting-verify-40r-gpt55-40r-gpt55-20260608T161444Z-claw	9052160	invalid_no_effective_rounds;SIGTERM;metrics_files=3;agentic_or_llm_files=39	none	v04-sibling-advisory-verify-40r-gpt55-40r-gpt55-20260608T164051Z-claw;v04-p2-auditability-verify-cvrp-40r-gpt55-20260609T114757Z-claw	retain_unique_traces	zero_effective_but_unique_hypothesis_tool_and_provider_traces;matches_existing_fail_closed_retention_boundary
/home/clawd/research/scion-experiments/v03-result-quality-comparison-20260426	344064	partial_quality_results_json=311794_bytes;resume_script_and_wait_log	none	v03-final-best-quality-20260428	retain_unique_result	later_root_uses_different_output_schema_and_is_not_an_exact_superset_of_partial_quality_results
/home/clawd/research/scion-experiments/v04-p1-intent-replay-lifecycle-warehouse-verify-20r-gpt55-20r-gpt55-20260608T131850Z-claw	32768	wrapper_exit=1;bad_problem_path;no_campaign_db_metrics_or_llm	none	v04-p1-intent-replay-lifecycle-warehouse-verify-rerun-20r-gpt55-20r-gpt55-20260608T131951Z-claw	delete	exact_rerun_completed_20_of_20_valid_with_161_metric_files;trivial_error_preserved_here
/home/clawd/research/scion-experiments/warehouse-20r-gpt55-20260606T075849Z-claw	16384	empty_wrapper_shell;no_campaign_db_metrics_or_llm	none	warehouse-20r-gpt55-20260606T080029Z-claw	already_deleted_batch6	batch6_exact_shell_predicate_and_manifest_own_this_path
/home/clawd/research/scion-experiments/v04-post40r-framework-verify-warehouse-12r-gpt55-20260609T004726Z-claw	112209920	valid_partial_interrupted=7_of_12;metrics_files=105;agentic_or_llm_files=402;formal_files=9	none	v04-post40r-repair-verify-warehouse-12r-gpt55-20260609T042719Z-claw	retain_unique_result	run_validity_explicitly_calls_partial_evidence_scientifically_useful;not_an_exact_duplicate
/home/clawd/research/scion-experiments/v04-post40r-cleanup-warehouse-smoke-4r-gpt55-20260609T030946Z-claw	79675392	valid_complete=4_of_4;metrics_files=70;agentic_or_llm_files=56;formal_files=5	none	v04-post40r-repair-verify-warehouse-12r-gpt55-20260609T042719Z-claw	retain_unique_result	complete_smoke_has_unique_metrics_and_formal_artifacts;not_an_exact_duplicate
