root	parent_relative	subtree	allocated_bytes	git_commit	git_source	content_sha256	restore_command_template
v03-validation	gpt-54-mini_production_seed11/workspaces/0cc15427-4d4c-49e3-9efb-cc5803d3fef6	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/1186d989-a070-4f85-9e6d-f8c736e2f8cb	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/1cdd4223-151d-41a2-928f-9d59d9405578	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/2004c33c-26b3-47e8-ba5a-d855f3362415	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/43cd6a5d-4af8-4601-b1b0-19b711d2f4b1	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/57145f70-4458-470e-80b0-77c380cb1a27	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/9a531ed8-0b6f-43d0-95c8-911915cca7d7	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/aec4fd89-c60d-49c9-b3e0-70316852154a	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/bfadfb8b-e378-495a-8acf-97a9f6fb4dd7	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v03-validation	gpt-54-mini_production_seed11/workspaces/e507ce8c-ffa4-4ede-8446-4298e8d9e3e9	data	9715712	8496705a51e15262b96913c2c9a3f91c4248369d	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
