family,instance_name,highs_status,cplex_status,highs_verified,cplex_verified,highs_oracle_feasible,cplex_oracle_feasible,highs_f1,cplex_f1,delta_f1_cplex_minus_highs,highs_f2,cplex_f2,delta_f2_cplex_minus_highs,objective_comparison,highs_elapsed_s,cplex_elapsed_s,elapsed_delta_s_cplex_minus_highs,elapsed_ratio_cplex_over_highs,highs_phase1_s,cplex_phase1_s,highs_phase2_s,cplex_phase2_s,cplex_source,audit_reasons
production,instance_prod_day1.json,optimal,feasible,True,True,True,True,16,16,0,165100,165100,0,same_objective,1806.37,1830.41,24.04000000000019,1.0133084583999956,914.85,907.97,899.62,911.53,offline-milp-benchmark/cplex-production-day-rerun/instance_prod_day1.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_day2.json,optimal,feasible,True,True,True,True,28,28,0,225500,225500,0,same_objective,1825.14,1834.98,9.839999999999918,1.0053913672375818,935.19,914.61,899.7,900.64,offline-milp-benchmark/cplex-production-day-rerun/instance_prod_day2.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_fro_xx01.json,optimal,feasible,True,True,True,True,4,4,0,300900,300900,0,same_objective,3606.92,3652.45,45.529999999999745,1.0126229580916681,1888.17,1920,1797.19,1720.58,offline-milp-benchmark/cplex-production/instance_prod_fro_xx01.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_fro_xx02.json,optimal,feasible,True,True,True,True,3,3,0,311800,311800,0,same_objective,3624.35,3668.36,44.01000000000022,1.0121428669968409,1945.69,1920,1772.26,1736.6,offline-milp-benchmark/cplex-production/instance_prod_fro_xx02.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_fro_xx03.json,optimal,feasible,True,True,True,True,2,2,0,283300,283300,0,same_objective,3561.92,3644.0,82.07999999999993,1.0230437516844848,1886.65,1920,1789.87,1739.93,offline-milp-benchmark/cplex-production/instance_prod_fro_xx03.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_scr_m01.json,optimal,optimal,True,True,True,True,2,2,0,53200,53200,0,same_objective,1129.97,1802.39,672.4200000000001,1.5950777454268699,1097.57,901.41,31.19,899.4,offline-milp-benchmark/cplex-production/instance_prod_scr_m01.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_scr_micro01.json,optimal,optimal,True,True,True,True,1,1,0,15800,15800,0,same_objective,1659.03,1799.66,140.6300000000001,1.0847663996431651,76.08,900.26,1723.12,899.23,offline-milp-benchmark/cplex-production/instance_prod_scr_micro01.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_scr_micro03.json,optimal,optimal,True,True,True,True,0,0,0,24400,24400,0,same_objective,1657.46,1030.33,-627.1300000000001,0.6216318945856913,1.11,0.34,1798.16,1029.78,offline-milp-benchmark/cplex-production/instance_prod_scr_micro03.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_scr_micro04.json,optimal,optimal,True,True,True,True,0,0,0,19600,19600,0,same_objective,847.5,1799.99,952.49,2.123882005899705,1.1,0.35,924.19,1799.38,offline-milp-benchmark/cplex-production/instance_prod_scr_micro04.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_scr_ml01.json,optimal,optimal,True,True,True,True,0,0,0,82600,82600,0,same_objective,4033.88,1804.24,-2229.6400000000003,0.44727160946780764,452.52,7.08,3578.53,1794.7,offline-milp-benchmark/cplex-production/instance_prod_scr_ml01.json,highs_reported_optimal_with_phase_time_near_or_above_limit
production,instance_prod_scr_ms01.json,optimal,optimal,True,True,True,True,0,0,0,33200,33200,0,same_objective,1200.24,1200.92,0.6800000000000637,1.0005665533559955,16.48,0.99,1183.45,1199.47,offline-milp-benchmark/cplex-production/instance_prod_scr_ms01.json,highs_reported_optimal_with_phase_time_near_or_above_limit
