instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
A-n32-k5,A,32,1,784.0,5,784.0,0.0,0.0,0.0,0.0,784.0,0.0,1.000725020000118,169.0,full_experiment_seed0.csv,
A-n33-k5,A,33,1,661.0,5,661.0,0.0,0.0,0.0,0.0,661.0,0.0,1.00167010999985,366.0,full_experiment_seed0.csv,
A-n33-k6,A,33,1,742.0,6,743.0,0.13477088948787064,0.13477088948787064,0.13477088948787064,0.0,743.0,0.0,1.0001265669998247,377.0,full_experiment_seed0.csv,
A-n34-k5,A,34,1,778.0,5,785.0,0.8997429305912596,0.8997429305912596,0.8997429305912596,0.0,785.0,0.0,1.0001964680000128,308.0,full_experiment_seed0.csv,
A-n36-k5,A,36,1,799.0,5,799.0,0.0,0.0,0.0,0.0,799.0,0.0,1.002921921000052,251.0,full_experiment_seed0.csv,
A-n37-k5,A,37,1,669.0,5,669.0,0.0,0.0,0.0,0.0,669.0,0.0,1.0030685420001646,251.0,full_experiment_seed0.csv,
A-n37-k6,A,37,1,949.0,6,949.0,0.0,0.0,0.0,0.0,949.0,0.0,1.0077142700001787,310.0,full_experiment_seed0.csv,
A-n38-k5,A,38,1,730.0,5,730.0,0.0,0.0,0.0,0.0,730.0,0.0,1.0020889390002594,303.0,full_experiment_seed0.csv,
A-n39-k5,A,39,1,822.0,5,826.0,0.48661800486618007,0.48661800486618007,0.48661800486618007,0.0,826.0,0.0,1.0049208489999728,162.0,full_experiment_seed0.csv,
A-n39-k6,A,39,1,831.0,6,833.0,0.24067388688327318,0.24067388688327318,0.24067388688327318,0.0,833.0,0.0,1.0036427589998311,120.0,full_experiment_seed0.csv,
A-n44-k6,A,44,1,937.0,6,937.0,0.0,0.0,0.0,0.0,937.0,0.0,1.001664806000008,111.0,full_experiment_seed0.csv,
A-n45-k6,A,45,1,944.0,6,953.0,0.9533898305084746,0.9533898305084746,0.9533898305084746,0.0,953.0,0.0,1.0018106850002368,117.0,full_experiment_seed0.csv,
A-n45-k7,A,45,1,1146.0,7,1146.0,0.0,0.0,0.0,0.0,1146.0,0.0,1.0046614940001746,159.0,full_experiment_seed0.csv,
A-n46-k7,A,46,1,914.0,7,914.0,0.0,0.0,0.0,0.0,914.0,0.0,1.0175755089999257,151.0,full_experiment_seed0.csv,
A-n48-k7,A,48,1,1073.0,7,1084.0,1.0251630941286114,1.0251630941286114,1.0251630941286114,0.0,1084.0,0.0,1.0067061989998365,124.0,full_experiment_seed0.csv,
A-n53-k7,A,53,1,1010.0,7,1021.0,1.089108910891089,1.089108910891089,1.089108910891089,0.0,1021.0,0.0,1.0013952039998912,131.0,full_experiment_seed0.csv,
A-n54-k7,A,54,1,1167.0,7,1172.0,0.42844901456726653,0.42844901456726653,0.42844901456726653,0.0,1172.0,0.0,1.0022276990002865,120.0,full_experiment_seed0.csv,
A-n55-k9,A,55,1,1073.0,9,1074.0,0.09319664492078285,0.09319664492078285,0.09319664492078285,0.0,1074.0,0.0,1.0139861570000903,131.0,full_experiment_seed0.csv,
A-n60-k9,A,60,1,1354.0,9,1384.0,2.2156573116691285,2.2156573116691285,2.2156573116691285,0.0,1384.0,0.0,1.0064645250004105,66.0,full_experiment_seed0.csv,
A-n61-k9,A,61,1,1034.0,9,1044.0,0.9671179883945842,0.9671179883945842,0.9671179883945842,0.0,1044.0,0.0,1.0055936310000106,95.0,full_experiment_seed0.csv,
A-n62-k8,A,62,1,1288.0,8,1312.0,1.8633540372670807,1.8633540372670807,1.8633540372670807,0.0,1312.0,0.0,1.020686466999905,58.0,full_experiment_seed0.csv,
A-n63-k10,A,63,1,1314.0,10,1336.0,1.67427701674277,1.67427701674277,1.67427701674277,0.0,1336.0,0.0,1.0075746160000563,50.0,full_experiment_seed0.csv,
A-n63-k9,A,63,1,1616.0,9,1645.0,1.7945544554455444,1.7945544554455444,1.7945544554455444,0.0,1645.0,0.0,1.003584327000226,85.0,full_experiment_seed0.csv,
A-n64-k9,A,64,1,1401.0,9,1446.0,3.2119914346895073,3.2119914346895073,3.2119914346895073,0.0,1446.0,0.0,1.0050486619998082,58.0,full_experiment_seed0.csv,
A-n65-k9,A,65,1,1174.0,9,1191.0,1.4480408858603067,1.4480408858603067,1.4480408858603067,0.0,1191.0,0.0,1.0059204049998698,61.0,full_experiment_seed0.csv,
A-n69-k9,A,69,1,1159.0,9,1169.0,0.8628127696289906,0.8628127696289906,0.8628127696289906,0.0,1169.0,0.0,1.0114375540001674,57.0,full_experiment_seed0.csv,
A-n80-k10,A,80,1,1763.0,10,1821.0,3.2898468519568915,3.2898468519568915,3.2898468519568915,0.0,1821.0,0.0,1.0052811250002378,27.0,full_experiment_seed0.csv,
Antwerp1,AGS,6001,1,477277.0,343,2001922.0,319.4465687640511,319.4465687640511,319.4465687640511,0.0,2001922.0,0.0,0.009679585999947449,0.0,full_experiment_seed0.csv,
Antwerp2,AGS,7001,1,291350.0,120,3111025.0,967.7964647331388,967.7964647331388,967.7964647331388,0.0,3111025.0,0.0,0.016448497000055795,0.0,full_experiment_seed0.csv,
B-n31-k5,B,31,1,672.0,5,673.0,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.0,673.0,0.0,1.0046320090000336,352.0,full_experiment_seed0.csv,
B-n34-k5,B,34,1,788.0,5,788.0,0.0,0.0,0.0,0.0,788.0,0.0,1.0000154340000336,233.0,full_experiment_seed0.csv,
B-n35-k5,B,35,1,955.0,5,955.0,0.0,0.0,0.0,0.0,955.0,0.0,1.0005586870001935,251.0,full_experiment_seed0.csv,
B-n38-k6,B,38,1,805.0,6,805.0,0.0,0.0,0.0,0.0,805.0,0.0,1.0005826050000906,193.0,full_experiment_seed0.csv,
B-n39-k5,B,39,1,549.0,5,549.0,0.0,0.0,0.0,0.0,549.0,0.0,1.006974517999879,110.0,full_experiment_seed0.csv,
B-n41-k6,B,41,1,829.0,6,830.0,0.12062726176115801,0.12062726176115801,0.12062726176115801,0.0,830.0,0.0,1.0193252130002293,225.0,full_experiment_seed0.csv,
B-n43-k6,B,43,1,742.0,6,742.0,0.0,0.0,0.0,0.0,742.0,0.0,1.0024367329997403,163.0,full_experiment_seed0.csv,
B-n44-k7,B,44,1,909.0,7,909.0,0.0,0.0,0.0,0.0,909.0,0.0,1.0056594289999339,186.0,full_experiment_seed0.csv,
B-n45-k5,B,45,1,751.0,5,751.0,0.0,0.0,0.0,0.0,751.0,0.0,1.0132751299997835,212.0,full_experiment_seed0.csv,
B-n45-k6,B,45,1,678.0,6,679.0,0.14749262536873156,0.14749262536873156,0.14749262536873156,0.0,679.0,0.0,1.00511165800026,161.0,full_experiment_seed0.csv,
B-n50-k7,B,50,1,741.0,7,741.0,0.0,0.0,0.0,0.0,741.0,0.0,1.00366811899994,120.0,full_experiment_seed0.csv,
B-n51-k7,B,51,1,1032.0,7,1018.0,-1.3565891472868217,-1.3565891472868217,-1.3565891472868217,0.0,1018.0,0.0,1.0003435600001467,139.0,full_experiment_seed0.csv,
