instance,subset,dimension,runs,bks,bks_routes,route_gap,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
A-n32-k5,A,32,1,784.0,5,0,784.0,0.0,0.0,0.0,0.0,784.0,0.0,1.0008529950000593,338.0,full_experiment_seed0_final.csv,
A-n33-k5,A,33,1,661.0,5,0,661.0,0.0,0.0,0.0,0.0,661.0,0.0,1.0028963099994144,418.0,full_experiment_seed0_final.csv,
A-n33-k6,A,33,1,742.0,6,0,743.0,0.13477088948787064,0.13477088948787064,0.13477088948787064,0.0,743.0,0.0,1.0012454799998523,359.0,full_experiment_seed0_final.csv,
A-n34-k5,A,34,1,778.0,5,0,785.0,0.8997429305912596,0.8997429305912596,0.8997429305912596,0.0,785.0,0.0,1.0045270950004124,415.0,full_experiment_seed0_final.csv,
A-n36-k5,A,36,1,799.0,5,0,799.0,0.0,0.0,0.0,0.0,799.0,0.0,1.0078392519999397,301.0,full_experiment_seed0_final.csv,
A-n37-k5,A,37,1,669.0,5,0,669.0,0.0,0.0,0.0,0.0,669.0,0.0,1.0012866309998572,247.0,full_experiment_seed0_final.csv,
A-n37-k6,A,37,1,949.0,6,0,949.0,0.0,0.0,0.0,0.0,949.0,0.0,1.0021741730006397,341.0,full_experiment_seed0_final.csv,
A-n38-k5,A,38,1,730.0,5,0,730.0,0.0,0.0,0.0,0.0,730.0,0.0,1.0001465109999117,333.0,full_experiment_seed0_final.csv,
A-n39-k5,A,39,1,822.0,5,0,826.0,0.48661800486618007,0.48661800486618007,0.48661800486618007,0.0,826.0,0.0,1.0006003899998177,307.0,full_experiment_seed0_final.csv,
A-n39-k6,A,39,1,831.0,6,0,833.0,0.24067388688327318,0.24067388688327318,0.24067388688327318,0.0,833.0,0.0,1.0025859090001177,239.0,full_experiment_seed0_final.csv,
A-n44-k6,A,44,1,937.0,6,0,937.0,0.0,0.0,0.0,0.0,937.0,0.0,1.0041480479994789,220.0,full_experiment_seed0_final.csv,
A-n45-k7,A,45,1,1146.0,7,0,1146.0,0.0,0.0,0.0,0.0,1146.0,0.0,1.004105596000045,168.0,full_experiment_seed0_final.csv,
A-n46-k7,A,46,1,914.0,7,0,914.0,0.0,0.0,0.0,0.0,914.0,0.0,1.0068745779999517,152.0,full_experiment_seed0_final.csv,
A-n48-k7,A,48,1,1073.0,7,0,1084.0,1.0251630941286114,1.0251630941286114,1.0251630941286114,0.0,1084.0,0.0,1.0065965100002359,133.0,full_experiment_seed0_final.csv,
A-n53-k7,A,53,1,1010.0,7,0,1021.0,1.089108910891089,1.089108910891089,1.089108910891089,0.0,1021.0,0.0,1.0105990029996974,125.0,full_experiment_seed0_final.csv,
A-n54-k7,A,54,1,1167.0,7,0,1172.0,0.42844901456726653,0.42844901456726653,0.42844901456726653,0.0,1172.0,0.0,1.0137465369998608,117.0,full_experiment_seed0_final.csv,
A-n55-k9,A,55,1,1073.0,9,0,1074.0,0.09319664492078285,0.09319664492078285,0.09319664492078285,0.0,1074.0,0.0,1.0057906429992727,123.0,full_experiment_seed0_final.csv,
A-n60-k9,A,60,1,1354.0,9,0,1384.0,2.2156573116691285,2.2156573116691285,2.2156573116691285,0.0,1384.0,0.0,1.0174756559999878,65.0,full_experiment_seed0_final.csv,
A-n62-k8,A,62,1,1288.0,8,0,1312.0,1.8633540372670807,1.8633540372670807,1.8633540372670807,0.0,1312.0,0.0,1.0145806070004255,63.0,full_experiment_seed0_final.csv,
A-n63-k10,A,63,1,1314.0,10,0,1336.0,1.67427701674277,1.67427701674277,1.67427701674277,0.0,1336.0,0.0,1.0225018270002693,58.0,full_experiment_seed0_final.csv,
A-n64-k9,A,64,1,1401.0,9,0,1446.0,3.2119914346895073,3.2119914346895073,3.2119914346895073,0.0,1446.0,0.0,1.0093187739994391,64.0,full_experiment_seed0_final.csv,
A-n65-k9,A,65,1,1174.0,9,0,1186.0,1.0221465076660987,1.0221465076660987,1.0221465076660987,0.0,1186.0,0.0,1.0154225300002508,72.0,full_experiment_seed0_final.csv,
A-n69-k9,A,69,1,1159.0,9,0,1169.0,0.8628127696289906,0.8628127696289906,0.8628127696289906,0.0,1169.0,0.0,1.0130128959999638,57.0,full_experiment_seed0_final.csv,
A-n80-k10,A,80,1,1763.0,10,0,1848.0,4.821327283040272,4.821327283040272,4.821327283040272,0.0,1848.0,0.0,1.0022255230005612,24.0,full_experiment_seed0_final.csv,
B-n31-k5,B,31,1,672.0,5,0,673.0,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.0,673.0,0.0,1.0024849910005287,334.0,full_experiment_seed0_final.csv,
B-n34-k5,B,34,1,788.0,5,0,788.0,0.0,0.0,0.0,0.0,788.0,0.0,1.0012890570005766,362.0,full_experiment_seed0_final.csv,
B-n35-k5,B,35,1,955.0,5,0,955.0,0.0,0.0,0.0,0.0,955.0,0.0,1.001135677000093,301.0,full_experiment_seed0_final.csv,
B-n38-k6,B,38,1,805.0,6,0,805.0,0.0,0.0,0.0,0.0,805.0,0.0,1.001032584999848,182.0,full_experiment_seed0_final.csv,
B-n39-k5,B,39,1,549.0,5,0,549.0,0.0,0.0,0.0,0.0,549.0,0.0,1.0032195079993471,224.0,full_experiment_seed0_final.csv,
B-n41-k6,B,41,1,829.0,6,0,830.0,0.12062726176115801,0.12062726176115801,0.12062726176115801,0.0,830.0,0.0,1.0043182099998376,256.0,full_experiment_seed0_final.csv,
B-n43-k6,B,43,1,742.0,6,0,742.0,0.0,0.0,0.0,0.0,742.0,0.0,1.001300787999753,162.0,full_experiment_seed0_final.csv,
B-n44-k7,B,44,1,909.0,7,0,909.0,0.0,0.0,0.0,0.0,909.0,0.0,1.0054248509995887,187.0,full_experiment_seed0_final.csv,
B-n45-k5,B,45,1,751.0,5,0,751.0,0.0,0.0,0.0,0.0,751.0,0.0,1.000788470999396,249.0,full_experiment_seed0_final.csv,
B-n45-k6,B,45,1,678.0,6,0,679.0,0.14749262536873156,0.14749262536873156,0.14749262536873156,0.0,679.0,0.0,1.0001852219993452,195.0,full_experiment_seed0_final.csv,
B-n50-k7,B,50,1,741.0,7,0,741.0,0.0,0.0,0.0,0.0,741.0,0.0,1.0041195819994755,127.0,full_experiment_seed0_final.csv,
B-n52-k7,B,52,1,747.0,7,0,747.0,0.0,0.0,0.0,0.0,747.0,0.0,1.004189805000351,113.0,full_experiment_seed0_final.csv,
B-n56-k7,B,56,1,707.0,7,0,714.0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.0,714.0,0.0,1.00981542000045,74.0,full_experiment_seed0_final.csv,
B-n57-k9,B,57,1,1598.0,9,0,1630.0,2.002503128911139,2.002503128911139,2.002503128911139,0.0,1630.0,0.0,1.0237870970004224,81.0,full_experiment_seed0_final.csv,
B-n63-k10,B,63,1,1496.0,10,0,1548.0,3.4759358288770055,3.4759358288770055,3.4759358288770055,0.0,1548.0,0.0,1.0101086439999563,75.0,full_experiment_seed0_final.csv,
B-n66-k9,B,66,1,1316.0,9,0,1346.0,2.2796352583586628,2.2796352583586628,2.2796352583586628,0.0,1346.0,0.0,1.0064184240000031,62.0,full_experiment_seed0_final.csv,
B-n67-k10,B,67,1,1032.0,10,0,1076.0,4.263565891472868,4.263565891472868,4.263565891472868,0.0,1076.0,0.0,1.012812977000067,46.0,full_experiment_seed0_final.csv,
B-n68-k9,B,68,1,1272.0,9,0,1296.0,1.8867924528301887,1.8867924528301887,1.8867924528301887,0.0,1296.0,0.0,1.0008402729999943,40.0,full_experiment_seed0_final.csv,
CMT1,CMT,51,1,524.611,5,0,524.6111466425075,2.7952617749588282e-05,2.7952617749588282e-05,2.7952617749588282e-05,0.0,524.6111466425075,0.0,1.0008777289995123,228.0,full_experiment_seed0_final.csv,
CMT10,CMT,200,1,1395.85,18,-1,1379.5100632157316,-1.1706083593701526,-1.1706083593701526,-1.1706083593701526,0.0,1379.5100632157316,0.0,1.17406254099933,2.0,full_experiment_seed0_final.csv,
CMT11,CMT,121,1,1042.12,7,0,1051.5258109728836,0.9025650570839949,0.9025650570839949,0.9025650570839949,0.0,1051.5258109728836,0.0,1.0644478960002743,16.0,full_experiment_seed0_final.csv,
CMT12,CMT,101,1,819.558,10,0,821.9988601083345,0.29782640256510273,0.29782640256510273,0.29782640256510273,0.0,821.9988601083345,0.0,1.0268034399996395,13.0,full_experiment_seed0_final.csv,
CMT13,CMT,121,1,1541.14,11,-4,1051.5258109728836,-31.769611393326784,-31.769611393326784,-31.769611393326784,0.0,1051.5258109728836,0.0,1.0083714869997493,16.0,full_experiment_seed0_final.csv,
CMT14,CMT,101,1,866.365,11,-1,821.9988601083345,-5.12095247287985,-5.12095247287985,-5.12095247287985,0.0,821.9988601083345,0.0,1.0025061769993044,13.0,full_experiment_seed0_final.csv,
CMT2,CMT,76,1,835.262,10,0,857.2622352537248,2.6339322576299287,2.6339322576299287,2.6339322576299287,0.0,857.2622352537248,0.0,1.006842045000667,60.0,full_experiment_seed0_final.csv,
CMT3,CMT,101,1,826.137,8,0,862.5041917296159,4.402077588779575,4.402077588779575,4.402077588779575,0.0,862.5041917296159,0.0,1.0090798129995164,17.0,full_experiment_seed0_final.csv,
CMT4,CMT,151,1,1028.42,12,0,1078.7825709796102,4.897082026760483,4.897082026760483,4.897082026760483,0.0,1078.7825709796102,0.0,1.1218538590001117,4.0,full_experiment_seed0_final.csv,
CMT6,CMT,51,1,555.43,6,-1,524.6111466425075,-5.5486475987059505,-5.5486475987059505,-5.5486475987059505,0.0,524.6111466425075,0.0,1.0054372680006054,225.0,full_experiment_seed0_final.csv,
