subset,instances,runs,mean_best_gap_pct,median_best_gap_pct,max_best_gap_pct,mean_mean_gap_pct,solved_to_bks,under_1pct,under_3pct,under_5pct,under_1pct_rate,under_3pct_rate,under_5pct_rate,mean_time
ALL,10246,10246,7.779092366267708,1.6641438047787618,790.8748148480632,7.779092366267708,38,60,90,113,41.0958904109589,61.64383561643836,77.3972602739726,0.021185910084231117
A,24,24,0.8362204057100077,0.3345614507252699,4.821327283040272,0.8362204057100077,9,16,22,24,66.66666666666666,91.66666666666666,100.0,1.0071063947499777
AGS,1,1,790.8748148480632,790.8748148480632,790.8748148480632,790.8748148480632,0,0,0,0,0.0,0.0,0.0,0.0040501330004190095
B,18,18,0.8508589434050148,0.060313630880579006,4.263565891472868,0.8508589434050148,9,13,16,18,72.22222222222221,88.88888888888889,100.0,1.005181754555502
CMT,13,13,-3.3054805782966565,-0.3973472068531137,4.897082026760483,-3.3054805782966565,7,10,11,13,76.92307692307693,84.61538461538461,100.0,1.0448467965383175
E,8,8,1.1930793355284293,1.1200334260383615,3.067484662576687,1.1930793355284293,3,3,7,8,37.5,87.5,100.0,1.0166704391250505
F,1,1,3.375527426160337,3.375527426160337,3.375527426160337,3.375527426160337,0,0,0,1,0.0,0.0,100.0,1.0448882130003767
M,4,4,3.7524842136596632,3.6508893692873667,7.586206896551724,3.7524842136596632,0,2,2,2,50.0,50.0,50.0,1.113828017999822
P,20,20,0.8068388213344573,0.28735632183908044,4.5531197301854975,0.8068388213344573,10,14,18,20,70.0,90.0,100.0,1.0050454661999537
X,48,48,5.856788143102851,5.523905776484046,12.85484070906161,5.856788143102851,0,1,8,19,2.083333333333333,16.666666666666664,39.58333333333333,1.3169462210417464
XL,100,100,,,,,0,0,0,0,,,,0.006230505400035327
XML,10000,10000,,,,,0,0,0,0,,,,0.005402877903302851
tai,9,9,3.029606796210636,2.162100384661415,8.898789834852447,3.029606796210636,0,1,6,8,11.11111111111111,66.66666666666666,88.88888888888889,1.06891443044444
