instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
A-n33-k5,A,cvrplib/A/A-n33-k5.vrp,33,661.0,5,661.0,0.0,5,366,1.00167010999985,1.0,0,True,clarke_wright_alns_vns,ok,,1.102285080999991
A-n32-k5,A,cvrplib/A/A-n32-k5.vrp,32,784.0,5,784.0,0.0,5,169,1.000725020000118,1.0,0,True,clarke_wright_alns_vns,ok,,1.138740855999913
A-n33-k6,A,cvrplib/A/A-n33-k6.vrp,33,742.0,6,743.0,0.13477088948787064,6,377,1.0001265669998247,1.0,0,True,clarke_wright_alns_vns,ok,,1.1329476719997729
A-n34-k5,A,cvrplib/A/A-n34-k5.vrp,34,778.0,5,785.0,0.8997429305912596,5,308,1.0001964680000128,1.0,0,True,clarke_wright_alns_vns,ok,,1.1306426060000376
A-n37-k5,A,cvrplib/A/A-n37-k5.vrp,37,669.0,5,669.0,0.0,5,251,1.0030685420001646,1.0,0,True,clarke_wright_alns_vns,ok,,1.0624090080000315
A-n36-k5,A,cvrplib/A/A-n36-k5.vrp,36,799.0,5,799.0,0.0,5,251,1.002921921000052,1.0,0,True,clarke_wright_alns_vns,ok,,1.125351242999841
A-n38-k5,A,cvrplib/A/A-n38-k5.vrp,38,730.0,5,730.0,0.0,5,303,1.0020889390002594,1.0,0,True,clarke_wright_alns_vns,ok,,1.0680694530001347
A-n37-k6,A,cvrplib/A/A-n37-k6.vrp,37,949.0,6,949.0,0.0,6,310,1.0077142700001787,1.0,0,True,clarke_wright_alns_vns,ok,,1.129306484999688
A-n39-k5,A,cvrplib/A/A-n39-k5.vrp,39,822.0,5,826.0,0.48661800486618007,5,162,1.0049208489999728,1.0,0,True,clarke_wright_alns_vns,ok,,1.1212326160002704
A-n39-k6,A,cvrplib/A/A-n39-k6.vrp,39,831.0,6,833.0,0.24067388688327318,6,120,1.0036427589998311,1.0,0,True,clarke_wright_alns_vns,ok,,1.1379858919999606
A-n44-k6,A,cvrplib/A/A-n44-k6.vrp,44,937.0,6,937.0,0.0,6,111,1.001664806000008,1.0,0,True,clarke_wright_alns_vns,ok,,1.1226142240002446
A-n45-k6,A,cvrplib/A/A-n45-k6.vrp,45,944.0,6,953.0,0.9533898305084746,7,117,1.0018106850002368,1.0,0,True,clarke_wright_alns_vns,ok,,1.132621226000083
A-n45-k7,A,cvrplib/A/A-n45-k7.vrp,45,1146.0,7,1146.0,0.0,7,159,1.0046614940001746,1.0,0,True,clarke_wright_alns_vns,ok,,1.0672401440001522
A-n46-k7,A,cvrplib/A/A-n46-k7.vrp,46,914.0,7,914.0,0.0,7,151,1.0175755089999257,1.0,0,True,clarke_wright_alns_vns,ok,,1.0689714589998403
A-n48-k7,A,cvrplib/A/A-n48-k7.vrp,48,1073.0,7,1084.0,1.0251630941286114,7,124,1.0067061989998365,1.0,0,True,clarke_wright_alns_vns,ok,,1.0663657509999211
A-n53-k7,A,cvrplib/A/A-n53-k7.vrp,53,1010.0,7,1021.0,1.089108910891089,7,131,1.0013952039998912,1.0,0,True,clarke_wright_alns_vns,ok,,1.1275348699996357
A-n54-k7,A,cvrplib/A/A-n54-k7.vrp,54,1167.0,7,1172.0,0.42844901456726653,7,120,1.0022276990002865,1.0,0,True,clarke_wright_alns_vns,ok,,1.0620751470000869
A-n55-k9,A,cvrplib/A/A-n55-k9.vrp,55,1073.0,9,1074.0,0.09319664492078285,9,131,1.0139861570000903,1.0,0,True,clarke_wright_alns_vns,ok,,1.0871069779996105
A-n60-k9,A,cvrplib/A/A-n60-k9.vrp,60,1354.0,9,1384.0,2.2156573116691285,9,66,1.0064645250004105,1.0,0,True,clarke_wright_alns_vns,ok,,1.0596111989998462
