instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,route_gap,iterations,time,time_limit,seed,feasible,benchmark_feasible,mode,status,error,wall_time
A-n32-k5,A,cvrplib/A/A-n32-k5.vrp,32,784.0,5,784.0,0.0,5,0,338,1.0008529950000593,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0699369220001245
A-n33-k5,A,cvrplib/A/A-n33-k5.vrp,33,661.0,5,661.0,0.0,5,0,418,1.0028963099994144,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0696584309998798
A-n33-k6,A,cvrplib/A/A-n33-k6.vrp,33,742.0,6,743.0,0.13477088948787064,6,0,359,1.0012454799998523,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0697871030006354
A-n34-k5,A,cvrplib/A/A-n34-k5.vrp,34,778.0,5,785.0,0.8997429305912596,5,0,415,1.0045270950004124,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0723544029997356
A-n36-k5,A,cvrplib/A/A-n36-k5.vrp,36,799.0,5,799.0,0.0,5,0,301,1.0078392519999397,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0792703770002845
A-n37-k5,A,cvrplib/A/A-n37-k5.vrp,37,669.0,5,669.0,0.0,5,0,247,1.0012866309998572,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0674669190002533
A-n37-k6,A,cvrplib/A/A-n37-k6.vrp,37,949.0,6,949.0,0.0,6,0,341,1.0021741730006397,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0777608540001893
A-n38-k5,A,cvrplib/A/A-n38-k5.vrp,38,730.0,5,730.0,0.0,5,0,333,1.0001465109999117,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.072192356999949
A-n39-k6,A,cvrplib/A/A-n39-k6.vrp,39,831.0,6,833.0,0.24067388688327318,6,0,239,1.0025859090001177,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0682741560003706
A-n39-k5,A,cvrplib/A/A-n39-k5.vrp,39,822.0,5,826.0,0.48661800486618007,5,0,307,1.0006003899998177,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0750066170003265
A-n44-k6,A,cvrplib/A/A-n44-k6.vrp,44,937.0,6,937.0,0.0,6,0,220,1.0041480479994789,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.07457099200019
A-n45-k6,A,cvrplib/A/A-n45-k6.vrp,45,944.0,6,953.0,0.9533898305084746,7,1,194,1.0013546119998864,1.0,0,True,False,clarke_wright_alns_vns,ok,,1.0687894399998186
A-n45-k7,A,cvrplib/A/A-n45-k7.vrp,45,1146.0,7,1146.0,0.0,7,0,168,1.004105596000045,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.074792656999307
A-n46-k7,A,cvrplib/A/A-n46-k7.vrp,46,914.0,7,914.0,0.0,7,0,152,1.0068745779999517,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0732242650001353
A-n48-k7,A,cvrplib/A/A-n48-k7.vrp,48,1073.0,7,1084.0,1.0251630941286114,7,0,133,1.0065965100002359,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0767373489998135
A-n53-k7,A,cvrplib/A/A-n53-k7.vrp,53,1010.0,7,1021.0,1.089108910891089,7,0,125,1.0105990029996974,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0797150300004432
A-n55-k9,A,cvrplib/A/A-n55-k9.vrp,55,1073.0,9,1074.0,0.09319664492078285,9,0,123,1.0057906429992727,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0804527259997485
A-n54-k7,A,cvrplib/A/A-n54-k7.vrp,54,1167.0,7,1172.0,0.42844901456726653,7,0,117,1.0137465369998608,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.091653167000004
A-n61-k9,A,cvrplib/A/A-n61-k9.vrp,61,1034.0,9,1044.0,0.9671179883945842,10,1,98,1.0138681779999388,1.0,0,True,False,clarke_wright_alns_vns,ok,,1.0815607189997536
A-n60-k9,A,cvrplib/A/A-n60-k9.vrp,60,1354.0,9,1384.0,2.2156573116691285,9,0,65,1.0174756559999878,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0838011980004012
A-n62-k8,A,cvrplib/A/A-n62-k8.vrp,62,1288.0,8,1312.0,1.8633540372670807,8,0,63,1.0145806070004255,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0821089040000516
A-n63-k10,A,cvrplib/A/A-n63-k10.vrp,63,1314.0,10,1336.0,1.67427701674277,10,0,58,1.0225018270002693,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0931702419993599
A-n63-k9,A,cvrplib/A/A-n63-k9.vrp,63,1616.0,9,1645.0,1.7945544554455444,10,1,82,1.0062525860003007,1.0,0,True,False,clarke_wright_alns_vns,ok,,1.0718893140001455
A-n64-k9,A,cvrplib/A/A-n64-k9.vrp,64,1401.0,9,1446.0,3.2119914346895073,9,0,64,1.0093187739994391,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0739617129993348
A-n65-k9,A,cvrplib/A/A-n65-k9.vrp,65,1174.0,9,1186.0,1.0221465076660987,9,0,72,1.0154225300002508,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0824381000002177
A-n69-k9,A,cvrplib/A/A-n69-k9.vrp,69,1159.0,9,1169.0,0.8628127696289906,9,0,57,1.0130128959999638,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.083419782999954
Antwerp1,AGS,cvrplib/AGS/Antwerp1.vrp,6001,477277.0,343,2001922.0,319.4465687640511,349,6,0,0.01182715899994946,0.0,0,True,False,sweep_construction_only,ok,,0.11001607300022442
Antwerp2,AGS,cvrplib/AGS/Antwerp2.vrp,7001,291350.0,120,3111025.0,967.7964647331388,121,1,0,0.011057452999921225,0.0,0,True,False,sweep_construction_only,ok,,0.10129421500005265
Brussels1,AGS,cvrplib/AGS/Brussels1.vrp,15001,501719.0,512,4072563.0,711.7219001074307,518,6,0,0.018902699000136636,0.0,0,True,False,sweep_construction_only,ok,,0.10385644399957528
Brussels2,AGS,cvrplib/AGS/Brussels2.vrp,16001,345468.0,182,4902657.0,1319.1349126402445,183,1,0,0.02276460700068128,0.0,0,True,False,sweep_construction_only,ok,,0.11582411600011255
Flanders1,AGS,cvrplib/AGS/Flanders1.vrp,20001,7240118.0,684,45352661.0,526.4077602050132,691,7,0,0.029313206000551872,0.0,0,True,False,sweep_construction_only,ok,,0.1292927790000249
Flanders2,AGS,cvrplib/AGS/Flanders2.vrp,30001,4373244.0,256,83428095.0,1807.6935794115307,257,1,0,0.046134821999658016,0.0,0,True,False,sweep_construction_only,ok,,0.17768795199935994
A-n80-k10,A,cvrplib/A/A-n80-k10.vrp,80,1763.0,10,1848.0,4.821327283040272,10,0,24,1.0022255230005612,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0732470279999689
Ghent1,AGS,cvrplib/AGS/Ghent1.vrp,10001,469531.0,485,2504769.0,433.4619013441072,493,8,0,0.021595060000436206,0.0,0,True,False,sweep_construction_only,ok,,0.10489550400052394
Ghent2,AGS,cvrplib/AGS/Ghent2.vrp,11001,257749.0,110,3135687.0,1116.5661166483671,111,1,0,0.015882351999607636,0.0,0,True,False,sweep_construction_only,ok,,0.10224660000039876
Leuven1,AGS,cvrplib/AGS/Leuven1.vrp,3001,192848.0,203,753685.0,290.8181573052352,208,5,0,0.003757114999643818,0.0,0,True,False,sweep_construction_only,ok,,0.5378889089997756
Leuven2,AGS,cvrplib/AGS/Leuven2.vrp,4001,111395.0,46,992390.0,790.8748148480632,46,0,0,0.0040501330004190095,0.0,0,True,True,sweep_construction_only,ok,,0.7611417850002908
B-n31-k5,B,cvrplib/B/B-n31-k5.vrp,31,672.0,5,673.0,0.1488095238095238,5,0,334,1.0024849910005287,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0730510139992475
B-n34-k5,B,cvrplib/B/B-n34-k5.vrp,34,788.0,5,788.0,0.0,5,0,362,1.0012890570005766,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0702367499998218
B-n35-k5,B,cvrplib/B/B-n35-k5.vrp,35,955.0,5,955.0,0.0,5,0,301,1.001135677000093,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0689824370001588
B-n38-k6,B,cvrplib/B/B-n38-k6.vrp,38,805.0,6,805.0,0.0,6,0,182,1.001032584999848,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.068215395000152
B-n39-k5,B,cvrplib/B/B-n39-k5.vrp,39,549.0,5,549.0,0.0,5,0,224,1.0032195079993471,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0669121370001449
B-n41-k6,B,cvrplib/B/B-n41-k6.vrp,41,829.0,6,830.0,0.12062726176115801,6,0,256,1.0043182099998376,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0655294799998956
B-n43-k6,B,cvrplib/B/B-n43-k6.vrp,43,742.0,6,742.0,0.0,6,0,162,1.001300787999753,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0726710219996676
B-n44-k7,B,cvrplib/B/B-n44-k7.vrp,44,909.0,7,909.0,0.0,7,0,187,1.0054248509995887,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0673361139997724
B-n45-k5,B,cvrplib/B/B-n45-k5.vrp,45,751.0,5,751.0,0.0,5,0,249,1.000788470999396,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0608404989998235
B-n45-k6,B,cvrplib/B/B-n45-k6.vrp,45,678.0,6,679.0,0.14749262536873156,6,0,195,1.0001852219993452,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0590591440004573
B-n50-k7,B,cvrplib/B/B-n50-k7.vrp,50,741.0,7,741.0,0.0,7,0,127,1.0041195819994755,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.062633965000714
B-n50-k8,B,cvrplib/B/B-n50-k8.vrp,50,1312.0,8,1321.0,0.6859756097560976,8,0,113,1.0024852070000634,1.0,0,True,True,clarke_wright_alns_vns,ok,,1.0631411300000764
B-n51-k7,B,cvrplib/B/B-n51-k7.vrp,51,1032.0,7,1018.0,-1.3565891472868217,8,1,145,1.0031249450003088,1.0,0,True,False,clarke_wright_alns_vns,ok,,1.0864696540002114
