instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
A-n32-k5,A,cvrplib/A/A-n32-k5.vrp,32,784.0,5,784.0,0.0,5,335,1.0022310090007522,1.0,0,True,clarke_wright_alns_vns,ok,,1.1131412650001948
A-n33-k5,A,cvrplib/A/A-n33-k5.vrp,33,661.0,5,661.0,0.0,5,323,1.0018839539998226,1.0,0,True,clarke_wright_alns_vns,ok,,1.1712734579996322
A-n33-k6,A,cvrplib/A/A-n33-k6.vrp,33,742.0,6,743.0,0.13477088948787064,6,298,1.0021185929999774,1.0,0,True,clarke_wright_alns_vns,ok,,1.101922354000635
A-n34-k5,A,cvrplib/A/A-n34-k5.vrp,34,778.0,5,785.0,0.8997429305912596,5,311,1.0006826489998275,1.0,0,True,clarke_wright_alns_vns,ok,,1.0701835039999423
A-n36-k5,A,cvrplib/A/A-n36-k5.vrp,36,799.0,5,799.0,0.0,5,278,1.007219585000712,1.0,0,True,clarke_wright_alns_vns,ok,,1.073185098999602
A-n37-k5,A,cvrplib/A/A-n37-k5.vrp,37,669.0,5,669.0,0.0,5,249,1.0005805800001326,1.0,0,True,clarke_wright_alns_vns,ok,,1.070942675999504
A-n37-k6,A,cvrplib/A/A-n37-k6.vrp,37,949.0,6,951.0,0.21074815595363539,6,284,1.000424114999987,1.0,0,True,clarke_wright_alns_vns,ok,,1.1394477719995848
A-n38-k5,A,cvrplib/A/A-n38-k5.vrp,38,730.0,5,730.0,0.0,5,303,1.0014964740003052,1.0,0,True,clarke_wright_alns_vns,ok,,1.1215377450007509
A-n39-k5,A,cvrplib/A/A-n39-k5.vrp,39,822.0,5,825.0,0.36496350364963503,5,318,1.002675384000213,1.0,0,True,clarke_wright_alns_vns,ok,,1.0636725919994205
A-n39-k6,A,cvrplib/A/A-n39-k6.vrp,39,831.0,6,833.0,0.24067388688327318,6,221,1.001143528999819,1.0,0,True,clarke_wright_alns_vns,ok,,1.1438606339997932
A-n44-k6,A,cvrplib/A/A-n44-k6.vrp,44,937.0,6,939.0,0.21344717182497333,6,201,1.0067934429998786,1.0,0,True,clarke_wright_alns_vns,ok,,1.145099461999962
A-n45-k6,A,cvrplib/A/A-n45-k6.vrp,45,944.0,6,980.0,3.8135593220338984,6,174,1.005578936999882,1.0,0,True,clarke_wright_alns_vns,ok,,1.1244246200003545
A-n45-k7,A,cvrplib/A/A-n45-k7.vrp,45,1146.0,7,1146.0,0.0,7,160,1.0020625369998015,1.0,0,True,clarke_wright_alns_vns,ok,,1.1345883120002327
A-n46-k7,A,cvrplib/A/A-n46-k7.vrp,46,914.0,7,914.0,0.0,7,153,1.0121241229999214,1.0,0,True,clarke_wright_alns_vns,ok,,1.1282487049993506
A-n48-k7,A,cvrplib/A/A-n48-k7.vrp,48,1073.0,7,1084.0,1.0251630941286114,7,143,1.0023705690000497,1.0,0,True,clarke_wright_alns_vns,ok,,1.0608047320001788
A-n53-k7,A,cvrplib/A/A-n53-k7.vrp,53,1010.0,7,1021.0,1.089108910891089,7,135,1.0012913700002173,1.0,0,True,clarke_wright_alns_vns,ok,,1.064757383000142
A-n54-k7,A,cvrplib/A/A-n54-k7.vrp,54,1167.0,7,1172.0,0.42844901456726653,7,118,1.0032733829993958,1.0,0,True,clarke_wright_alns_vns,ok,,1.0749108129994056
A-n55-k9,A,cvrplib/A/A-n55-k9.vrp,55,1073.0,9,1074.0,0.09319664492078285,9,125,1.0072985030001291,1.0,0,True,clarke_wright_alns_vns,ok,,1.0678658270007872
A-n60-k9,A,cvrplib/A/A-n60-k9.vrp,60,1354.0,9,1384.0,2.2156573116691285,9,65,1.0031628679998903,1.0,0,True,clarke_wright_alns_vns,ok,,1.05647015500017
A-n61-k9,A,cvrplib/A/A-n61-k9.vrp,61,1034.0,9,1165.0,12.669245647969053,9,51,1.016274754000733,1.0,0,True,clarke_wright_alns_vns,ok,,1.0823057919997154
A-n62-k8,A,cvrplib/A/A-n62-k8.vrp,62,1288.0,8,1312.0,1.8633540372670807,8,62,1.0220853930004523,1.0,0,True,clarke_wright_alns_vns,ok,,1.0853147649995663
A-n63-k10,A,cvrplib/A/A-n63-k10.vrp,63,1314.0,10,1336.0,1.67427701674277,10,58,1.0164424089998647,1.0,0,True,clarke_wright_alns_vns,ok,,1.0821220320003704
A-n63-k9,A,cvrplib/A/A-n63-k9.vrp,63,1616.0,9,1644.0,1.7326732673267329,9,50,1.009331500999906,1.0,0,True,clarke_wright_alns_vns,ok,,1.1363084209997396
A-n64-k9,A,cvrplib/A/A-n64-k9.vrp,64,1401.0,9,1446.0,3.2119914346895073,9,58,1.0090316940004413,1.0,0,True,clarke_wright_alns_vns,ok,,1.1281787750003787
